static_outline_dh (m),static_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),midcyc_datetime
0.377983746986248,-0.012713974398007808,0.3906977213842558,101500369.56851222,173257918.78974518,0.511411137048931,-0.012720834522498675,0.5241319715714298,90810014.5656318,2010-08-17 06:45:00
0.38062652135311736,-0.01250961461858738,0.39313613597170477,102133851.58860289,172085874.1134121,0.5172034800468043,-0.012516342138439097,0.5297198221852434,91157298.63594884,2010-11-16 11:15:00
0.37389988006996594,-0.01063237094310313,0.3845322510130691,99898626.1055047,165957126.61769137,0.5192995266645435,-0.010638819896463298,0.5299383465610068,87947045.27979502,2011-02-15 15:45:00
0.35863085063865097,-0.008691068986892118,0.36732191962554306,95427509.68833879,154944151.37574118,0.5123113981944277,-0.008697088006551144,0.5210084862009788,80727217.75397022,2011-05-17 23:15:00
0.3347110919744867,-0.008225680370585927,0.3429367723450726,89092429.32958733,138870655.43764293,0.5008899081203791,-0.008231140195818193,0.5091210483161973,70701973.6767702,2011-08-17 06:45:00
0.3013928792790237,-0.007673738103391108,0.3090666173824148,80293214.34089433,117477847.4608626,0.4817660787758396,-0.00767844455194683,0.48944452332778643,57498889.052056305,2011-11-16 11:15:00
0.2572809640275729,-0.005142808276284459,0.26242377230385733,68175749.21612531,89990501.26380047,0.45475458370242194,-0.005146486491921127,0.45990107019434306,41386727.83854722,2012-02-15 15:45:00
0.2001650729690117,-0.004156451569317694,0.20432152453832939,53081216.28650479,54092075.923806675,0.41768058468219693,-0.0041588897025322275,0.4218394743847292,22818172.876077473,2012-05-16 23:15:00
0.12668701260603724,-0.006296214822431232,0.13298322742846846,34548055.930758215,10126438.57694685,0.36357963914439323,-0.006297195581519415,0.36987683472591265,3745535.0478874766,2012-08-16 06:45:00
0.031759519857915725,-0.00886498009109733,0.04062449994901306,10553943.708070457,0.0,0.36357963914439323,-0.006297195581519415,0.36987683472591265,0.0,2012-11-15 23:15:00
-0.09245473431843525,-0.009605256483019561,-0.08284947783541569,-21523679.710899454,0.0,0.36357963914439323,-0.006297195581519415,0.36987683472591265,0.0,2013-02-15 15:45:00
-0.25845477808611683,-0.011548283505823433,-0.2469064945802934,-64144475.58069516,116311048.46456519,-0.4619129980038065,-0.011542389993833318,-0.45037060800997314,-52383077.61526368,2013-05-17 23:15:00
-0.48738177480125155,-0.014883613051872144,-0.4724981617493794,-122751517.12706481,223110146.72068125,-0.6735447769778702,-0.01487489281969288,-0.6586698841581773,-146955934.49502507,2013-08-17 06:45:00
-0.8172435383142284,-0.017467060690387663,-0.7997764776238407,-207775995.6300939,237250005.7849845,-1.0588943656207142,-0.017456861398621373,-1.0414375042220927,-247081053.9013913,2013-11-16 11:15:00
-1.3016048777571747,-0.016422906028040314,-1.2851819717291344,-333880741.9483277,224118038.85925114,-1.7031497302357654,-0.016412516540898557,-1.6867372136948668,-378028236.40421116,2014-02-15 15:45:00
-1.9153431737945552,-0.014684470793851337,-1.9006587030007038,-493777030.73021984,232530124.06982604,-2.3193442404545914,-0.01467300536440625,-2.304671235090185,-535905488.2356799,2014-05-17 23:15:00
-2.1390634317880997,-0.015763358631160816,-2.1233000731569387,-551617606.9998525,254284581.53187382,-2.392419355124155,-0.015750553226064428,-2.3766688018980906,-604350231.7305158,2014-08-17 06:45:00
-1.6373738435339402,-0.016280786156424358,-1.621093057377516,-421147949.9951798,255791811.54141426,-1.8350875953898709,-0.016269298862495177,-1.8188182965273756,-465238826.9334066,2014-11-16 11:15:00
-0.9074552311102493,-0.011767551241724685,-0.8956876798685246,-232693014.4422441,214628557.18115574,-1.1945599778198772,-0.011759916072270697,-1.1828000617476064,-253862670.6866707,2015-02-15 15:45:00
-0.2653610477386622,-0.005756888124944091,-0.25960415961371813,-67443234.75692853,125195377.59983738,-0.5646895895994275,-0.0057539723481430695,-0.5589356172512844,-69976155.65577273,2015-05-17 23:15:00
0.15956718568268952,-0.0008229162708628183,0.16039010195355233,41668158.61054301,135890549.92748192,0.28407334540086226,-0.0008232039681863051,0.28489654936904857,38714748.76620201,2015-08-17 06:45:00
0.3978750634464113,0.003789525735087232,0.3940855377113241,102380499.11728293,151100360.16429722,0.779374530293594,0.003788317718383473,0.7755862125752105,117191356.05857751,2015-11-16 11:15:00
0.4655511250391751,0.013502966268032386,0.45204815877114274,117438758.06460091,105821868.47208017,1.3100961395179405,0.013500852542401041,1.2965952869755395,137208135.9198446,2016-02-15 15:45:00
0.45971802878074036,0.012897396313766185,0.4468206324669742,116080685.51193205,97456422.18251665,1.3304715549903336,0.012894200699988962,1.3175773542903446,128406374.89784314,2016-05-16 23:15:00
0.39700134983889845,0.00807110044514457,0.38893024939375387,101041193.45762444,89002657.14620505,1.1843296039647853,0.008068811764636124,1.1762607922001491,104690336.00271341,2016-08-16 06:45:00
0.34395157353961925,0.0013543283138537881,0.34259724522576546,89004222.70282198,80551504.64264016,1.026042082129989,0.0013534964381945569,1.0246885856917944,82540207.36761296,2016-11-15 23:15:00
0.3236084773407072,-0.002757051738922391,0.32636552907962957,84787343.26537162,86305322.88110325,0.8571552552052523,-0.0027578162454579055,0.8599130714507102,74215075.28123474,2017-02-15 15:45:00
0.30494567541631024,-0.006020274184590449,0.3109659496009007,80786646.7607883,92074448.87409359,0.775301535184736,-0.006021839596492605,0.7813233747812286,71939919.1254285,2017-05-17 23:15:00
0.2958720584514981,-0.010405559732871909,0.30627761818437,79568653.0398331,90798184.80739254,0.7319322407582528,-0.010407021148004413,0.7423392619062572,67403057.49234772,2017-08-17 06:45:00
0.2866247861531647,-0.014010448359951213,0.3006352345131159,78102803.62087433,89681382.68783447,0.6958041621945422,-0.014011245025363687,0.7098154072199059,63657227.17260944,2017-11-16 11:15:00
0.2611056283970463,-0.013603523035823573,0.2747091514328699,71367399.57299455,88067893.58668421,0.6315158647976179,-0.013603881609081984,0.6451197464066999,56814337.17721395,2018-02-15 15:45:00
0.2036929345983709,-0.012595468563454228,0.21628840316182513,56190122.57488248,73528214.81230627,0.5559828178210836,-0.012596620304447801,0.5685794381255314,41806631.06435447,2018-05-17 23:15:00
0.16200160495091773,-0.014055960120101596,0.17605756507101933,45738449.297137275,52696399.9851599,0.5190157563630643,-0.014057165982961313,0.5330729223460257,28091023.93720425,2018-08-17 06:45:00
0.377983746986248,-0.08204301446676254,0.4600267614530105,119511539.85094112,49600735.044662245,-0.37496185302734375,-0.08204139024019241,-0.29292047023773193,-14529070.633419614,2018-11-16 14:15:00
0.38062652135311736,-0.006151128560304642,0.386777649913422,100481964.0820024,156604714.1003436,0.6886435151100159,-0.006153964903205633,0.6947974562644958,108808556.99594738,2019-02-15 21:45:00
0.37389988006996594,0.015303058549761772,0.35859682152020417,93160793.92896423,141264554.74130225,-0.8880782127380371,0.015304403379559517,-0.9033825993537903,-127615940.65875342,2019-05-18 05:15:00
0.35863085063865097,0.048012033104896545,0.3106188175337544,80696464.42499277,228497781.15735304,2.7335376739501953,0.048007894307374954,2.6855297088623047,613637579.707189,2019-08-17 12:45:00
0.3347110919744867,-0.0811305046081543,0.41584159658264097,108032561.81160598,226828112.41072512,0.673255980014801,-0.08112912625074387,0.7543851137161255,171115751.37497896,2019-11-16 20:15:00
0.3013928792790237,0.010197881609201431,0.29119499766982226,75650300.12273848,219777910.5518443,-0.37589433789253235,0.010205058380961418,-0.3860993981361389,-84856118.98768526,2020-02-16 03:45:00
0.2572809640275729,0.03965064138174057,0.21763032264583232,56538743.30160527,176136261.0483686,0.7159892916679382,0.03964821249246597,0.6763410568237305,119128184.94243409,2020-05-17 11:15:00
0.2001650729690117,0.017232343554496765,0.18293272941451494,47524565.98918406,103887849.14621072,0.5277337431907654,0.017230993136763573,0.5105027556419373,53035033.26685445,2020-08-16 18:45:00
0.12668701260603724,-0.025279082357883453,0.1519660949639207,39479664.08934155,98256034.02789684,0.08866003900766373,-0.02528216689825058,0.1139422059059143,11195509.260705143,2020-11-16 02:15:00
0.031759519857915725,-0.03262282907962799,0.06438234893754372,16726056.62427837,103150125.05005738,-0.38499656319618225,-0.032625649124383926,-0.3523709177970886,-36347104.23477318,2021-02-15 09:45:00
-0.09245473431843525,0.01888291910290718,-0.11133765342134243,-28924696.38450413,125233938.58674291,0.6341620683670044,0.018882596865296364,0.615279495716095,77053874.58019158,2021-05-17 17:15:00
-0.25845477808611683,0.034688547253608704,-0.29314332533972554,-76156461.19743092,21496280.04317426,0.393862783908844,0.034688543528318405,0.3591742515563965,7720910.295753817,2021-08-17 00:45:00
-0.48738177480125155,-0.01784975454211235,-0.4695320202591392,-121980935.57264674,0.0,0.393862783908844,0.034688543528318405,0.3591742515563965,0.0,2021-11-16 08:15:00
-0.8172435383142284,-0.0006338205421343446,-0.816609717772094,-212149146.5408022,4509199.919319676,0.3416381776332855,-0.0006346317240968347,0.3422728180885315,1543376.5637101245,2022-02-15 15:45:00
-1.3016048777571747,0.0253452081233263,-1.326950085880501,-344731788.14210355,3479867.5021660468,-0.025543212890625,0.02534434385597706,-0.05088755488395691,-177081.94850537274,2022-05-17 23:15:00
-1.9153431737945552,0.040830060839653015,-1.9561732346342082,-508199294.20608413,0.0,-0.025543212890625,0.02534434385597706,-0.05088755488395691,-0.0,2022-08-17 06:45:00
-2.1390634317880997,-0.04258336126804352,-2.096480070520056,-544649969.2828292,0.0,-0.025543212890625,0.02534434385597706,-0.05088755488395691,-0.0,2022-11-16 14:15:00
-1.6373738435339402,-0.039394401013851166,-1.597979442520089,-415143204.3268893,0.0,-0.025543212890625,0.02534434385597706,-0.05088755488395691,-0.0,2023-02-15 21:45:00
